Year,Pov_Food_%,Pov_Low_%,Pov_Upper_%,Value
2011,0.128977783,0.235019084,0.387178544,0.250391804
2012,0.144664621,0.252895414,0.40402524,0.267195092
2013,0.149232943,0.260545202,0.412560266,0.274112804
2014,0.158809821,0.272627615,0.421811447,0.284416294
2015,0.163488942,0.281541771,0.428769749,0.291266821
2016,0.187802204,0.303271525,0.445674469,0.312249399
2017,0.202645253,0.319859083,0.46172818,0.328077505
2018,0.207753505,0.329022314,0.472977357,0.336584392
2019,0.216191016,0.342424269,0.489770199,0.349461828
2020,0.239838772,0.368320085,0.516299386,0.374819414
2021,0.238412237,0.363811262,0.512351885,0.371525128
2022,0.23680127,0.360854826,0.511387574,0.369681224
